id,name,category,cuisine,serving_size,serving_unit,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg
29,Spanish Lentil Bowl,sandwich,Spanish,376,g,445.0,33.9,88.1,19.3,6.9,27.3,285,21
30,Ethiopian Shish Taouk Miso,stew,Ethiopian,2,piece,749.0,33.8,58.6,21.4,2.5,27.6,791,128
31,Japanese Burrito Pesto,vegan,Japanese,331,ml,411.0,9.1,20.5,30.0,1.3,4.3,611,23
32,Moroccan Burger Harissa,vegetarian,Moroccan,188,g,309.0,22.4,29.5,25.1,10.0,22.3,625,0
33,Spanish Stew Green Curry,wrap,Spanish,2,piece,618.0,19.7,80.2,18.7,8.9,26.0,1213,145
34,British Omelette Pho Style,rice,British,1,piece,624.0,13.7,70.6,7.3,4.7,6.2,557,118
35,Moroccan Taco Plate,dinner,Moroccan,2,piece,678.0,26.4,36.8,26.3,7.2,20.5,1293,28
36,American Mujadara Baked,seafood,American,2,piece,397.0,25.4,10.6,16.5,10.6,10.6,1148,25
37,Lebanese Salad Za'atar,grill,Lebanese,482,ml,412.0,39.1,53.7,15.4,9.0,9.6,1127,136
38,Peruvian Stew Shoyu,pasta,Peruvian,1,piece,602.0,21.1,103.6,31.1,1.8,30.0,1038,138
39,Lebanese Stuffed Grape Leaves Stir-Fry,vegan,Lebanese,2,piece,393.0,15.8,27.2,29.0,3.9,27.2,1363,14
40,Chinese Kafta Plate,rice,Chinese,455,ml,471.0,17.8,104.4,17.3,11.6,22.9,546,1
41,Italian Burrito Red Curry,wrap,Italian,347,g,637.0,24.6,95.0,8.7,3.0,20.6,539,92
42,Ethiopian Kafta With Pita,vegetarian,Ethiopian,1,piece,286.0,10.1,36.9,15.2,9.5,29.9,1123,32
43,Japanese Pancake Casserole,vegan,Japanese,394,g,292.0,13.3,22.4,28.6,2.1,1.5,212,50
44,Lebanese Salad Casserole,breakfast,Lebanese,343,ml,384.0,35.3,26.1,36.5,1.9,2.0,828,95
45,Lebanese Falafel Pesto,grill,Lebanese,304,g,480.0,36.5,38.5,28.5,4.8,26.9,522,92
46,Peruvian Shish Taouk Yogurt,snack,Peruvian,1,piece,518.0,13.9,22.6,6.9,0.5,12.8,889,44
47,Thai Tofu Tomato,bowl,Thai,436,ml,577.0,27.3,96.3,16.8,6.2,17.8,1255,120
48,Mexican Noodles Baked,grill,Mexican,406,ml,584.0,45.8,30.9,20.3,1.4,1.1,680,48
49,Italian Shish Taouk Stir-Fry,breakfast,Italian,1,piece,531.0,19.0,45.1,34.0,2.4,16.1,914,72
50,Greek Mujadara Roasted,stew,Greek,228,g,670.0,29.8,62.3,32.8,7.5,14.9,606,56
51,Spanish Mujadara Green Curry,breakfast,Spanish,323,ml,290.0,17.5,54.7,26.6,9.1,6.0,867,146
52,Lebanese Grilled Veggies Garlic,sandwich,Lebanese,365,ml,624.0,13.4,114.2,33.9,6.1,3.7,1323,83
53,Ethiopian Taco Butter,wrap,Ethiopian,270,g,402.0,15.2,79.3,26.8,2.0,2.0,1148,132
54,Ethiopian Tabbouleh On Rice,breakfast,Ethiopian,2,piece,569.0,33.7,39.5,23.6,4.6,24.6,687,160
55,Chinese Sayadieh Harissa,sandwich,Chinese,224,g,521.0,34.6,61.7,32.1,8.9,18.1,305,142
56,Peruvian Noodles Roasted,snack,Peruvian,2,piece,252.0,14.0,78.0,33.4,1.3,23.0,475,97
57,Italian Sujuk On Quinoa,vegetarian,Italian,2,piece,448.0,22.2,11.1,7.0,7.7,11.1,1476,117
58,French Noodles Garlic,snack,French,1,piece,246.0,18.5,13.6,14.7,5.1,6.9,644,102
59,Lebanese Waffle Pesto,rice,Lebanese,473,ml,386.0,22.2,53.8,12.5,0.6,22.5,1270,101
60,Korean Porridge Shoyu,grill,Korean,1,piece,653.0,23.4,25.1,20.2,3.1,16.5,875,152
61,Spanish Pancake Korma,lunch,Spanish,432,ml,374.0,40.5,15.8,12.2,3.1,15.8,1093,101
62,French Fattoush Miso,lunch,French,311,g,633.0,21.0,21.4,28.4,2.5,4.0,869,156
63,Japanese Taco Casserole,dessert,Japanese,2,piece,644.0,6.1,32.0,29.5,3.3,21.7,1123,67
64,Brazilian Chicken Teriyaki,rice,Brazilian,1,piece,528.0,33.2,59.7,17.5,8.0,11.4,1076,77
65,Brazilian Stuffed Grape Leaves Skewers,sandwich,Brazilian,2,piece,818.0,20.5,73.9,10.8,12.3,9.8,861,16
66,American Mujadara Green Curry,pasta,American,376,ml,639.0,34.5,81.0,28.5,7.2,26.6,477,104
67,Korean Halloumi With Hummus,pasta,Korean,2,piece,658.0,12.1,61.0,35.0,11.7,25.4,253,34
68,Lebanese Potato Spicy,stew,Lebanese,1,piece,643.0,34.1,35.6,28.6,3.0,22.2,1154,91
69,American Quinoa Lemon,vegetarian,American,338,g,161.0,5.3,37.8,12.2,4.2,5.3,193,119
70,Italian Sushi Ramen Style,pasta,Italian,269,g,495.0,31.3,100.0,35.6,8.9,10.0,1108,5
71,Spanish Burrito Miso,snack,Spanish,416,g,379.0,13.9,19.3,22.8,6.9,19.3,619,91
72,Ethiopian Sfiha Baked,snack,Ethiopian,2,piece,548.0,29.1,25.0,17.0,2.9,9.3,685,61
73,Moroccan Manousheh Herb,dessert,Moroccan,2,piece,236.0,8.8,31.4,8.0,9.1,24.7,898,94
74,Turkish Kibbeh Shoyu,wrap,Turkish,1,piece,485.0,19.6,47.8,20.9,2.3,14.6,1303,56
75,French Rice Red Curry,sandwich,French,2,piece,619.0,10.4,101.7,29.1,3.5,5.2,1054,47
76,Lebanese Salad Sumac,drink,Lebanese,166,g,212.0,11.8,9.1,2.7,5.6,9.1,665,121
77,Peruvian Lentil Garlic,lunch,Peruvian,1,piece,311.0,29.7,26.1,22.5,4.9,6.0,762,50
78,Peruvian Lamb Tomato,grill,Peruvian,495,ml,320.0,24.2,56.2,28.3,9.2,8.6,281,78
79,American Sushi Red Curry,sandwich,American,2,piece,398.0,37.4,44.8,6.8,11.6,26.9,952,95
80,Moroccan Beef On Quinoa,rice,Moroccan,384,g,615.0,34.2,102.2,8.4,10.0,7.1,913,82
81,Thai Kafta Garlic,sandwich,Thai,288,g,373.0,23.5,96.1,15.0,8.2,22.8,1156,35
82,Lebanese Shish Taouk Skewers,drink,Lebanese,433,g,192.0,8.2,30.5,6.7,8.0,30.5,971,152
83,Lebanese Taco Miso,dinner,Lebanese,1,piece,454.0,21.2,35.3,17.6,6.1,1.8,1360,13
84,Italian Sujuk Tandoori,vegan,Italian,2,piece,426.0,20.9,23.5,26.7,7.3,8.8,708,22
85,French Grilled Veggies Grilled,stew,French,2,piece,335.0,42.9,62.8,23.4,7.9,11.5,1462,65
86,Lebanese Tofu With Veggies,stew,Lebanese,304,g,513.0,28.2,56.2,36.9,8.1,4.9,251,115
87,Thai Chickpea Grilled,rice,Thai,367,ml,661.0,20.5,50.6,27.3,11.8,30.9,1426,15
88,Ethiopian Fattoush Lemon,pasta,Ethiopian,232,g,728.0,16.5,115.2,11.0,4.1,24.8,859,90
89,Lebanese Sayadieh Spicy,stew,Lebanese,1,piece,353.0,42.3,44.9,28.3,2.3,12.4,650,102
90,Korean Cauliflower Green Curry,bowl,Korean,222,g,697.0,23.5,96.1,16.3,11.1,28.8,739,44
91,Ethiopian Turkey Spicy,salad,Ethiopian,215,ml,339.0,12.3,42.3,26.1,6.4,3.7,233,25
92,Lebanese Falafel Tomato,wrap,Lebanese,465,ml,707.0,20.6,62.3,15.5,4.5,2.3,395,46
93,Turkish Lamb Casserole,drink,Turkish,408,ml,71.0,7.0,46.4,0.1,1.5,15.9,1330,91
94,Ethiopian Potato On Rice,grill,Ethiopian,135,g,464.0,41.2,28.6,10.4,10.3,17.0,135,78
95,American Waffle With Pita,breakfast,American,308,g,265.0,23.5,37.4,15.9,10.4,14.8,1089,73
96,Lebanese Manousheh Teriyaki,rice,Lebanese,1,piece,711.0,20.5,92.1,24.4,9.5,22.3,584,7
97,Mexican Sfiha Butter,bowl,Mexican,1,piece,395.0,30.3,102.0,6.8,2.7,22.8,1291,48
98,Spanish Taco Teriyaki,vegetarian,Spanish,368,g,237.0,12.7,39.1,32.5,4.5,3.9,658,149
99,Spanish Burrito Korma,salad,Spanish,477,ml,328.0,19.3,32.5,6.7,6.8,22.6,799,47
100,Thai Shrimp Miso,wrap,Thai,334,ml,664.0,36.6,81.5,18.3,7.7,23.3,195,105
101,Ethiopian Beef Herb,salad,Ethiopian,2,piece,322.0,7.4,18.1,24.1,4.6,18.1,163,24
102,Greek Salad Spicy,dinner,Greek,1,piece,466.0,28.4,61.0,9.2,2.8,16.4,1456,19
103,Korean Sfiha Korma,grill,Korean,160,g,663.0,31.5,52.8,19.4,1.5,19.8,1247,49
104,Italian Fattoush Garlic,grill,Italian,2,piece,598.0,22.9,24.2,13.7,11.5,23.1,434,76
105,Peruvian Chickpea Grilled,vegetarian,Peruvian,222,g,544.0,19.2,28.1,27.8,9.9,2.2,1447,101
106,Ethiopian Porridge Ramen Style,vegetarian,Ethiopian,373,g,191.0,14.2,38.2,28.3,6.1,8.6,324,141
107,Ethiopian Quinoa Tahini,dinner,Ethiopian,2,piece,434.0,38.9,39.8,10.8,8.1,18.2,944,28
108,British Beef Grilled,lunch,British,433,g,665.0,27.2,17.1,24.1,7.8,0.9,1385,89
109,Thai Fattoush Tandoori,rice,Thai,347,g,408.0,21.8,70.3,15.4,2.1,25.0,543,153
110,Lebanese Sushi Red Curry,pasta,Lebanese,225,g,601.0,19.3,61.5,9.5,4.1,12.4,1040,42
111,Mexican Turkey Garlic,stew,Mexican,498,ml,464.0,42.0,29.4,9.5,4.6,12.5,411,84
112,Thai Tabbouleh Green Curry,seafood,Thai,399,g,405.0,42.5,22.1,20.5,4.8,12.1,916,31
113,Italian Shish Taouk Red Curry,bowl,Italian,447,ml,586.0,26.3,45.5,8.2,4.5,27.5,826,54
114,British Lamb Wrap,vegan,British,165,g,311.0,15.9,28.5,25.5,7.1,10.8,1060,28
115,Thai Sushi Green Curry,vegan,Thai,412,ml,280.0,22.1,23.8,26.2,12.2,18.2,1265,120
116,Lebanese Stuffed Grape Leaves Ramen Style,dessert,Lebanese,1,piece,229.0,5.9,59.9,27.0,9.5,11.6,1272,39
117,French Shawarma Harissa,bowl,French,256,g,447.0,25.4,83.8,19.9,10.4,22.1,1107,83
118,Vietnamese Tuna Tandoori,stew,Vietnamese,1,piece,465.0,43.2,45.2,25.7,8.6,18.5,389,39
119,Chinese Sayadieh Casserole,grill,Chinese,1,piece,602.0,27.5,23.6,32.4,9.4,8.0,281,105
120,Spanish Tabbouleh Wrap,drink,Spanish,486,ml,50.0,9.4,53.4,8.6,2.8,36.4,471,85
121,French Potato Roll,sandwich,French,2,piece,495.0,18.6,51.5,17.1,6.5,22.4,339,169
122,Mexican Taco Tahini,seafood,Mexican,296,ml,445.0,39.9,2.5,15.4,2.5,2.5,1320,136
123,Mexican Mortadella Korma,lunch,Mexican,429,g,805.0,52.3,58.4,9.1,7.7,3.5,1620,49
124,Brazilian Sushi Tandoori,drink,Brazilian,257,ml,64.0,7.2,16.4,3.2,2.8,16.4,1273,95
125,Mexican Rice Masala,rice,Mexican,226,ml,710.0,17.0,54.4,16.8,3.7,8.5,485,131
126,Thai Quinoa With Hummus,breakfast,Thai,1,piece,549.0,21.1,20.1,29.8,11.4,20.1,1215,113
127,Thai Cauliflower Spicy,sandwich,Thai,245,ml,652.0,26.7,65.6,20.8,5.6,15.3,984,33
128,British Curry Miso,dinner,British,2,piece,337.0,36.2,8.4,22.9,6.3,8.4,328,52
129,French Falafel Masala,seafood,French,442,ml,435.0,34.9,14.6,6.5,6.2,14.6,1188,67
130,Indian Rice With Pita,lunch,Indian,1,piece,819.0,52.5,9.6,36.4,0.9,9.6,1294,134
131,Moroccan Noodles Za'atar,rice,Moroccan,224,ml,859.0,39.7,54.0,33.9,2.0,32.6,725,22
132,Lebanese Burger Green Curry,grill,Lebanese,359,ml,660.0,25.5,23.7,15.2,11.1,21.4,271,127
133,Lebanese Halloumi Wrap,dinner,Lebanese,379,ml,617.0,19.6,45.8,18.9,3.2,6.5,1312,9
134,Thai Salad On Quinoa,stew,Thai,219,g,374.0,40.1,17.6,16.5,1.2,17.6,1367,149
135,Moroccan Kibbeh Za'atar,lunch,Moroccan,1,piece,517.0,24.2,27.3,30.1,6.3,27.0,567,120
136,Mediterranean Soup Vindaloo,wrap,Mediterranean,248,g,453.0,19.4,44.4,18.6,4.7,15.7,1233,8
137,British Turkey Ramen Style,dinner,British,2,piece,417.0,25.9,57.6,17.0,11.5,6.7,401,124
138,Vietnamese Mortadella Pesto,soup,Vietnamese,1,piece,223.0,15.5,30.0,8.0,4.8,27.7,797,134
139,Turkish Shawarma Harissa,pasta,Turkish,305,g,439.0,14.0,56.9,32.3,7.0,12.2,322,51
140,Chinese Quinoa Korma,stew,Chinese,2,piece,536.0,24.0,50.1,12.9,9.0,15.1,1424,89
141,Mediterranean Mujadara Roll,dinner,Mediterranean,256,g,695.0,26.0,44.9,8.4,6.5,11.5,995,109
142,Vietnamese Chicken Green Curry,breakfast,Vietnamese,1,piece,195.0,25.7,39.4,14.1,5.9,19.6,668,140
143,French Turkey Vindaloo,sandwich,French,444,ml,503.0,23.4,70.7,19.0,7.5,31.8,461,117
144,Lebanese Sujuk Red Curry,rice,Lebanese,216,ml,356.0,15.2,75.4,18.7,9.6,17.1,1311,15
145,Mediterranean Hummus Wrap,seafood,Mediterranean,345,g,370.0,35.7,21.0,9.1,10.9,0.5,431,24
146,Spanish Shrimp Pho Style,grill,Spanish,307,g,716.0,41.6,36.4,19.3,9.4,24.9,1123,13
147,Lebanese Cauliflower Skewers,wrap,Lebanese,381,ml,633.0,28.2,109.0,15.6,7.9,23.8,749,36
148,Spanish Falafel Casserole,rice,Spanish,355,g,372.0,14.1,86.4,23.4,8.7,9.1,256,0
149,Greek Chickpea Grilled,snack,Greek,262,g,452.0,22.9,16.5,6.9,6.2,16.2,1085,124
150,Moroccan Mezze Red Curry,dinner,Moroccan,308,g,375.0,30.1,12.6,16.1,6.2,1.9,717,67
151,Italian Mezze Korma,sandwich,Italian,2,piece,548.0,13.9,39.9,17.2,10.0,11.2,1291,69
152,Lebanese Pancake Tahini,stew,Lebanese,294,ml,781.0,52.1,22.4,28.5,6.5,18.4,483,63
153,Spanish Omelette Green Curry,soup,Spanish,344,g,319.0,25.5,24.1,14.4,5.9,9.3,1139,138
154,Moroccan Porridge On Rice,drink,Moroccan,203,g,77.0,6.1,31.6,5.8,7.9,30.4,920,158
155,Moroccan Sfiha Green Curry,pasta,Moroccan,2,piece,380.0,32.4,84.3,16.0,7.8,1.3,1447,106
156,Turkish Halloumi Bowl,wrap,Turkish,205,g,580.0,25.6,80.6,22.7,5.6,11.7,1185,94
157,Greek Halloumi Casserole,seafood,Greek,476,ml,258.0,37.5,20.1,11.0,4.1,20.1,771,51
158,Korean Lamb Baked,grill,Korean,400,g,646.0,43.3,15.3,37.7,3.6,5.7,372,97
159,Chinese Tuna Shoyu,salad,Chinese,208,ml,361.0,8.2,28.0,15.2,7.9,5.6,1056,118
160,French Tuna With Hummus,vegetarian,French,259,ml,190.0,17.9,26.3,33.0,4.0,11.3,642,17
161,Korean Waffle Ramen Style,grill,Korean,341,g,434.0,25.2,11.3,17.8,2.1,11.3,928,90
162,Vietnamese Soup Garlic,salad,Vietnamese,286,ml,228.0,22.1,32.1,31.3,11.6,14.7,394,62
163,Vietnamese Pasta Miso,seafood,Vietnamese,250,ml,472.0,42.1,7.0,6.0,3.3,7.0,1262,95
164,Vietnamese Salad Baked,snack,Vietnamese,432,ml,661.0,22.4,80.8,6.7,9.3,17.5,1583,17
165,Chinese Noodles Teriyaki,lunch,Chinese,458,ml,347.0,46.7,11.7,30.6,3.0,11.7,1094,140
166,Lebanese Mushroom Yogurt,drink,Lebanese,308,g,188.0,2.7,41.7,12.7,4.2,30.1,1549,88
167,Lebanese Fish Stir-Fry,wrap,Lebanese,1,piece,706.0,16.7,85.6,28.6,8.8,19.3,758,88
168,Moroccan Porridge Grilled,dinner,Moroccan,354,ml,445.0,50.2,26.5,35.2,4.5,0.1,1243,122
169,Korean Tofu Green Curry,pasta,Korean,265,ml,526.0,15.8,57.0,29.1,4.2,16.8,873,75
170,Lebanese Beef Baked,bowl,Lebanese,265,g,334.0,37.0,51.7,24.8,1.9,18.6,324,142
171,Greek Mujadara Garlic,pasta,Greek,250,g,461.0,29.3,53.3,23.6,8.1,0.0,735,20
172,Lebanese Eggplant Shoyu,stew,Lebanese,1,piece,349.0,31.8,47.5,11.3,4.3,27.8,324,130
173,American Tofu Vindaloo,drink,American,1,piece,189.0,9.9,27.8,6.9,2.1,19.7,979,126
174,Lebanese Omelette Za'atar,snack,Lebanese,488,ml,406.0,14.7,33.4,7.8,7.1,18.7,994,129
175,Thai Turkey Sumac,vegan,Thai,393,ml,418.0,18.8,16.6,15.0,3.0,16.6,196,128
176,Greek Sujuk Pho Style,drink,Greek,309,ml,196.0,13.1,43.3,8.4,0.6,7.0,439,5
177,Spanish Sayadieh Harissa,vegan,Spanish,410,ml,184.0,15.8,31.8,13.4,4.1,15.5,403,130
178,Spanish Fattoush Shoyu,dinner,Spanish,2,piece,381.0,24.1,52.2,10.4,7.1,1.5,971,98
179,Lebanese Shrimp Korma,breakfast,Lebanese,356,ml,536.0,24.9,18.1,8.6,8.6,7.3,1216,111
180,Moroccan Quinoa Pho Style,dinner,Moroccan,1,piece,527.0,30.8,33.9,24.3,4.9,8.0,273,95
181,Chinese Lamb Bowl,breakfast,Chinese,135,g,361.0,31.0,19.6,36.5,0.9,19.6,1044,99
182,Chinese Hummus Skewers,stew,Chinese,1,piece,503.0,44.8,14.2,28.4,11.3,14.2,205,71
183,Thai Burger Bowl,vegetarian,Thai,260,ml,406.0,12.0,34.3,20.4,7.9,16.0,1281,33
184,Lebanese Beef Tomato,wrap,Lebanese,1,piece,732.0,36.5,107.2,6.1,8.1,25.6,1130,16
185,Chinese Lentil Stir-Fry,lunch,Chinese,134,g,415.0,46.3,28.5,33.1,5.9,23.1,946,83
186,Lebanese Rice Spicy,lunch,Lebanese,216,g,633.0,44.2,24.7,28.2,3.9,12.6,410,139
187,Lebanese Shrimp Miso,snack,Lebanese,294,ml,292.0,19.9,68.8,17.8,5.6,24.6,235,124
188,Lebanese Lentil Grilled,stew,Lebanese,1,piece,483.0,36.1,44.3,15.8,12.5,1.0,711,75
189,Lebanese Chickpea Baked,snack,Lebanese,140,g,652.0,18.1,28.0,18.4,9.1,28.0,255,101
190,Lebanese Turkey Miso,dinner,Lebanese,150,g,681.0,43.9,11.7,33.4,1.1,11.7,717,115
191,Spanish Kibbeh Yogurt,salad,Spanish,210,g,301.0,7.3,28.9,21.6,7.3,13.7,1227,70
192,Lebanese Stuffed Grape Leaves Vindaloo,soup,Lebanese,328,g,385.0,21.1,39.7,14.7,4.6,16.3,789,146
193,Spanish Shawarma Tomato,breakfast,Spanish,415,g,608.0,9.9,71.7,24.3,9.6,30.9,1510,16
194,Japanese Shish Taouk Tomato,lunch,Japanese,2,piece,713.0,31.8,55.4,33.4,2.7,19.2,1334,120
195,Lebanese Salad Pho Style,pasta,Lebanese,305,g,410.0,37.4,96.0,19.1,3.8,13.9,230,35
196,Ethiopian Waffle Tahini,stew,Ethiopian,232,g,382.0,43.9,53.0,9.7,2.2,21.3,317,17
197,Greek Grilled Veggies Sumac,pasta,Greek,1,piece,531.0,15.4,55.8,36.7,10.5,31.5,1111,30
198,British Mujadara Ramen Style,sandwich,British,244,g,689.0,19.1,53.1,6.1,8.7,17.4,1311,124
199,Mexican Porridge Pho Style,sandwich,Mexican,429,g,425.0,33.3,58.2,35.4,2.5,27.3,249,116
200,Turkish Mushroom Pesto,dessert,Turkish,1,piece,320.0,2.8,24.5,16.2,8.7,24.5,1308,76
201,Brazilian Salad Tomato,seafood,Brazilian,268,g,485.0,19.1,0.6,9.4,0.6,0.6,1230,23
202,Italian Grilled Veggies Plate,seafood,Italian,482,ml,322.0,44.2,4.9,7.3,3.0,4.9,1131,120
203,Japanese Potato Roasted,grill,Japanese,249,g,503.0,31.0,7.4,7.4,1.4,7.4,903,70
204,Lebanese Falafel Butter,grill,Lebanese,221,g,474.0,33.3,40.9,10.3,6.7,5.5,1327,58
205,Japanese Cauliflower Stir-Fry,dessert,Japanese,1,piece,615.0,7.8,32.7,16.4,7.2,31.1,997,94
206,Ethiopian Sambousek Butter,vegetarian,Ethiopian,2,piece,349.0,6.7,42.6,27.1,6.4,27.7,1254,111
207,French Tuna Garlic,bowl,French,386,g,440.0,24.6,118.1,20.2,13.0,20.4,1375,44
208,Lebanese Mortadella Red Curry,vegetarian,Lebanese,456,ml,363.0,23.7,10.6,26.4,7.4,10.6,278,24
209,Peruvian Halloumi Pho Style,snack,Peruvian,379,g,628.0,35.7,78.7,12.7,7.9,16.8,757,27
210,British Lamb Sumac,rice,British,407,ml,399.0,26.0,63.0,18.0,4.7,25.5,588,144
211,French Chickpea On Rice,sandwich,French,1,piece,759.0,19.0,72.8,26.0,2.8,6.7,1322,124
212,Greek Shrimp Skewers,vegan,Greek,412,ml,282.0,18.7,25.7,20.0,2.3,23.8,359,8
213,Mediterranean Hummus With Hummus,soup,Mediterranean,351,ml,320.0,8.1,8.7,8.3,7.1,5.2,1281,91
214,Mexican Fatteh Grilled,dessert,Mexican,208,ml,225.0,8.9,75.9,11.5,3.1,6.8,406,104
215,Lebanese Stuffed Grape Leaves Lemon,drink,Lebanese,2,piece,90.0,14.0,38.9,8.5,8.6,15.9,1344,135
216,Indian Waffle Sumac,vegan,Indian,1,piece,324.0,16.7,36.1,14.8,7.3,16.7,485,15
217,Japanese Quinoa On Rice,dessert,Japanese,169,g,601.0,9.5,79.8,30.0,7.6,20.4,1092,118
218,Thai Mortadella Za'atar,wrap,Thai,1,piece,692.0,28.1,55.1,28.0,3.2,16.6,1244,150
219,Ethiopian Mujadara Red Curry,salad,Ethiopian,216,g,320.0,18.7,33.4,20.6,10.4,26.8,1285,98
220,Chinese Pasta With Veggies,grill,Chinese,278,ml,432.0,45.2,30.9,31.4,7.2,28.3,218,142
221,Spanish Fish Herb,wrap,Spanish,447,g,487.0,38.3,99.1,33.5,2.1,25.0,356,12
222,Mexican Chicken Miso,lunch,Mexican,262,ml,639.0,35.9,13.5,28.8,9.3,3.8,708,67
223,Vietnamese Stew Tahini,lunch,Vietnamese,1,piece,297.0,27.4,49.2,12.7,8.0,18.2,448,107
224,Lebanese Omelette On Rice,vegan,Lebanese,141,g,185.0,26.3,28.5,22.7,7.2,14.3,1173,23
225,Vietnamese Shrimp Sumac,soup,Vietnamese,195,g,387.0,9.1,33.9,12.7,2.6,11.8,1094,6
226,Japanese Pancake Roll,lunch,Japanese,1,piece,701.0,20.3,11.8,20.7,2.0,7.9,1129,34
227,Lebanese Mujadara Vindaloo,snack,Lebanese,386,ml,578.0,23.1,83.7,20.8,7.8,8.7,1229,81
228,Japanese Kibbeh Harissa,soup,Japanese,248,ml,305.0,23.6,30.5,10.4,3.2,0.4,246,17
229,Lebanese Sayadieh Masala,dinner,Lebanese,358,g,314.0,23.8,16.1,31.5,3.5,12.6,233,25
230,Thai Rice Baked,stew,Thai,400,g,733.0,19.2,13.2,26.7,4.5,13.2,1505,44
231,Greek Eggplant Sumac,salad,Greek,488,ml,236.0,11.6,36.3,26.4,7.3,21.8,251,101
232,Lebanese Salad Miso,seafood,Lebanese,321,g,563.0,38.0,27.9,24.4,9.6,27.9,847,84
233,Lebanese Stuffed Grape Leaves On Quinoa,dessert,Lebanese,352,g,561.0,8.5,65.0,22.8,12.2,20.9,610,87
234,French Taco With Pita,sandwich,French,2,piece,560.0,37.6,84.6,37.1,1.2,20.7,360,145
235,Lebanese Shawarma Pesto,seafood,Lebanese,491,ml,287.0,27.4,20.7,14.0,3.4,14.8,1313,76
236,Korean Fatteh Plate,seafood,Korean,253,g,271.0,34.8,25.5,21.5,11.9,19.7,1390,92
237,Korean Fish Tomato,pasta,Korean,299,ml,675.0,27.2,87.6,16.1,5.5,2.8,999,0
238,Thai Sfiha Roasted,pasta,Thai,415,g,539.0,32.7,86.7,16.9,3.2,5.5,270,128
239,Indian Shish Taouk Harissa,snack,Indian,425,g,631.0,27.8,72.2,18.6,8.1,28.9,307,80
